id_genero,artista,oyentes,reproducciones
2,Astrio,878,11517
2,Jacky Terrasson,151445,819739
2,Jimmy Dorsey,87289,409310
2,Kin Garcia Trio,11,26
2,ORQUESTRA DE JAZZ DE GALICIA,22,299
2,Candy Dulfer,173061,1934647
2,Jimmy Dorsey,87289,409310
2,Oscar Peterson Trio,562922,5847116
2,Barry Likumahuwa,10932,169852
2,Maynard Ferguson,114683,1027016
2,Juliana Cortes,565,7243
2,Mezz Mezzrow,9478,60169
2,Beny Moré,132304,783644
2,Alice Lamb,9068,35559
2,Phil Woods,150821,551297
2,Massimo Faraò,71418,268018
2,Greg Walker,2934,12097
2,SaxoFOUR,238,2017
2,Snowboy,44259,175812
2,"David ""Fathead"" Newman",18341,98483
2,Ole Amund Gjersvik,1606,7594
2,Jan Ptaszyn Wroblewski Sextet,523,5835
2,Raphael Wressnig,2324,12076
2,Scheen Jazzorkester,329,1885
2,Giulia Valle Trio,51,279
2,Woody Herman,163877,935633
2,"Johnny ""Hammond"" Smith",50974,262949
2,Octavio Bugni,33,89
2,Glenn Weyant,280,1183
2,Enrico Intra,71445,277279
2,Eduardo Mendonça,408,771
2,Greekboy,7628,39329
2,Barney Kessel,108209,786794
2,Enrico Intra,71445,277279
2,Eric Bouvelle,2178,9491
2,Ivo Perelman,3417,34163
2,Mark O'Connor,38533,259641
2,Jan Ptaszyn Wroblewski Sextet,523,5835
2,PAX JAPONICA GROOVE,4886,132566
2,Duke Ellington,1408665,21316897
2,"Eddie ""Cleanhead"" Vinson",23070,87370
2,Monika Hoffman,359,754
2,Federico Casagrande,802,2448
2,Ruben Alves,368,2186
2,İlhan İrem,13113,252816
2,Christine Tobin,2319,13724
2,Eugene Williams,45,461
2,Lucky Thompson,24977,173650
2,SaxoFOUR,238,2017
2,Jimmy Forrest,37446,137955
2,James Butler,15612,229264
2,Greg Walker,2934,12097
2,James Butler,15612,229264
2,Greg Walker,2934,12097
2,Greg Walker,2934,12097
2,Martin Liege,10376,103291
2,James Butler,15612,229264
2,Martin Liege,10376,103291
2,Afro-Cuban All Stars,70497,470959
2,Jimmie Lunceford,122991,700448
2,Dexter,172514,1769178
2,Túlio Borges,2730,35234
2,Mah Kouyaté,626,2889
2,Shannon & Keast,10575,63016
2,Terry Dexter,3127,21252
2,Kika Sprangers,1604,13169
2,Wendell Brunious,703,4076
2,David Finck,21889,45502
2,Katie Noonan,18110,171204
2,Joshua Redman Quartet,45606,244652
2,Instrumental Jazz Music Ambient,10378,137267
2,Al Jolson,97683,549107
2,California Ramblers,7180,34950
2,Lina Nyberg,7143,38196
2,Peter Szendofi,534,4482
2,Roger Wolfe Kahn,4933,19260
2,The Jazz Crusaders,40399,222727
2,Alexey Kruglov,390,2995
2,Charles Mingus,971435,16790364
2,Monika Hoffman,359,754
2,Christian Garrick,282,3860
2,Andreas Tschopp,69,517
2,Emma Pask,1008,8780
2,Andrezz,5186,22463
2,Vangelis Katsoulis,6185,48075
2,Barre Phillips,16494,97176
2,J. C. Higginbotham,273,1045
2,Mari Nakamoto,1475,14238
2,Mala Traza,7,11
2,Hubert Deuringer,890,6049
2,Marilyn Scott,9217,73699
2,Monika Hoffman,359,754
2,Memphis Jazzers,110,248
2,Kirk Lightsey,2081,8079
2,Somewhere Off Jazz Street,30439,437211
2,David Hazeltine Trio,3591,23297
2,Steiger,2711,15117
2,Akiko Tsuruga,2074,18106
2,Claude Cozens Trio,22,103
2,Aga Zaryan,20335,605518
2,Ole Swing,450,3560
2,Herbie Mann,196613,1252773
2,Carme Canela,702,4993
2,Martin Liege,10376,103291
2,James Butler,15612,229264
2,Cab Calloway & His Orchestra,44684,239387
2,"Earth, Wind & Fire",2740336,43632328
2,Alberto Tarin,2126,9306
2,Jeanette Lindström,14365,98179
2,Oscar Aleman,6183,32257
2,Michiel Borstlap,62534,371941
2,David Manuhutu,534,1603
2,Bebo Valdés,83534,701748
2,Oscar Aleman,6183,32257
2,Charles Schillings,42009,183818
2,Mani Deïz,6365,68583
2,IAMPAUL,19803,78944
2,The Tepping Trio,315,823
2,Fletcher Henderson & His Orchestra,9516,34633
2,Ahmad Jamal,383862,4462027
2,Desidério Lázaro,204,1418
2,Duoscience,13746,104638
2,Shelly Manne,30975,179078
2,Brian Tarquin,14696,83441
2,Ella Fitzgerald,2640014,49466015
2,Sumkali,39,123
2,The MaddGeek,4867,18639
2,TOKYO SHIOKOUJI,2654,12483
2,Stefano Di Battista,16930,114865
2,¡Cubanismo!,49948,244119
2,Bunk Johnson,22930,87235
2,Edward Vesala Ensemble,65,257
2,Mat Mathews,568,3281
2,Susanne Regen,120,269
2,Pietro Tonolo,812,6363
2,Luiz Ayrao,27976,141790
2,TICO DE MORAES,3284,11848
2,"Medeski, Martin & Wood",74418,618307
2,Arturo Sandoval,121162,933628
2,B's Bees,29,289
2,Jackie McLean,181625,1177131
2,Jack Hylton & His Orchestra,29412,145788
2,Bora Çeliker,119,551
2,Ohmega Watts,50069,543464
2,"YoYo the ""Pianoman""",1264,3519
2,Kentaro Takizawa,6622,48850
2,Herbie Mann,196613,1252773
2,Mel Tormé,759913,4337902
2,Funkee Boy,2623,12290
2,Sugarwork,109,365
2,Denise King,18333,82644
2,Chano Dominguez,2491,14083
2,Javier Colina,4717,39864
2,Magalí Sare,2419,12754
2,Dani Nel·lo,701,5791
2,Chano Dominguez,2491,14083
2,Servando Rascón,99,148
2,Beny Moré,132304,783644
2,Orquesta Aragón,82769,423846
2,Wayne Gorbea,13212,67227
2,Joe Cuba,67025,322854
2,Joe Cuba,67025,322854
2,Gary Burton,161121,1110533
2,Bobby Darin,1208254,10664114
2,Jestofunk,99223,653879
2,Muff,3430,29640
2,Harry James,374525,2492912
2,Carlos Lyra,138786,737147
2,John Burnsby,939,2756
2,"Henry ""Red"" Allen",17039,82288
2,Tito Rodriguez,60126,299746
2,Luciana Souza,92532,464888
2,Machito,64122,362728
2,Howard McGhee,15319,82761
2,Coffee House Jazz Club,983,9948
2,Dale Burbeck,2651,7013
2,Rob Burke,225,1832
2,Luigi Vitale,32,147
2,Beny Moré,132304,783644
2,Tubby Hayes,5229,46934
2,Kendraka,229,917
2,King Curtis,195499,1118520
2,Joel Lyssarides,140010,721799
2,Lemongrass,442714,6257750
2,Urbie Green,5685,53008
2,Miriam Makeba,254404,2204291
2,Billy Eckstine,215894,887725
2,Limid,773,7649
2,Luca Flores,755,13169
2,Illinois Jacquet,60345,296040
2,Living Room,347083,3318474
2,Mundell Lowe,4244,29706
2,Sarah Vaughan,1065328,10891872
2,Stefan Keller,46,146
2,Bola Sete,55300,363977
2,Mongo Santamaria,205613,1145972
2,Dale Burbeck,2651,7013
2,Thelonious Coltrane,96051,408019
2,Konstantin Klashtorni,6186,71267
2,James Butler,15612,229264
